day	S	E	I	R
292 	 36786.20982628575 	 324.8755018151179 	 1416.1134449905908 	 73678.40213721777
293 	 36730.22284486459 	 316.2165748826371 	 1380.242048848189 	 73777.81692383534
294 	 36675.72860111551 	 307.779723540669 	 1345.1964339012854 	 73874.69112682804
295 	 36622.68825637012 	 299.5597554589857 	 1310.9619865310078 	 73969.08339081323
296 	 36571.06391354953 	 291.55156882198173 	 1277.524103926713 	 74061.05131749595
297 	 36520.81859825649 	 283.75015328093497 	 1244.868214282092 	 74150.65146342837
298 	 36471.91624015082 	 276.15059095903 	 1212.9797962562207 	 74237.93933816827
299 	 36424.3216549406 	 268.74805484592787 	 1181.8443835379378 	 74322.96941932903
300 	 36378.00052512795 	 261.53781060582327 	 1151.4475908920163 	 74405.79514397943
301 	 36332.91938286376 	 254.51521501799803 	 1121.7751164558401 	 74486.46892505178
302 	 36289.04559132673 	 247.67571619262395 	 1092.81275750623 	 74565.0421539803
303 	 36246.34732673877 	 241.01485327732908 	 1064.5464226402771 	 74641.56520679829
304 	 36204.79356158979 	 234.52825549556414 	 1036.9621399806765 	 74716.08745366952
305 	 36164.354046693945 	 228.21164109711657 	 1010.0460632328317 	 74788.65727182459
306 	 36124.99929415984 	 222.06081716667703 	 983.7844840883422 	 74859.32205037845
307 	 36086.70056048404 	 216.07167923580582 	 958.1638431382362 	 74928.1281967119
308 	 36049.429829928005 	 210.2402091104825 	 933.1707290937783 	 74995.12115604607
309 	 36013.15979790421 	 204.5624753274062 	 908.7918900313509 	 75060.34541635533
310 	 35977.86385474488 	 199.0346317746776 	 885.0142374365088 	 75123.8445219337
311 	 35943.51606976579 	 193.6529164335035 	 861.8248505122159 	 75185.66108628112
312 	 35910.09117589322 	 188.41365034255844 	 839.2109826129508 	 75245.83680207803
313 	 35877.564553891294 	 183.31323653003645 	 817.1600634991471 	 75304.4124557716
314 	 35845.91221738668 	 178.34815864019345 	 795.6597037603341 	 75361.42793950127
315 	 35815.11079813727 	 173.51497947506994 	 774.6976986391641 	 75416.92226346432
316 	 35785.13753118777 	 168.81033974897395 	 754.262029603177 	 75470.93357043412
317 	 35755.970240718656 	 164.2309578506263 	 734.3408658409288 	 75523.49914865279
318 	 35727.587325373155 	 159.77362832821484 	 714.9225670286912 	 75574.65544525255
319 	 35699.967745032736 	 155.43522052463322 	 695.9956832435556 	 75624.43808093184
320 	 35673.09100711132 	 151.2126771404041 	 677.5489579138949 	 75672.88186214771
321 	 35646.93715344848 	 147.10301159101112 	 659.5713290785288 	 75720.02079560621
322 	 35621.486746982795 	 143.10330868529857 	 642.0519277619791 	 75765.88810253529
323 	 35596.72085909032 	 139.21072285169973 	 624.9800787982861 	 75810.51623229629
324 	 35572.62105716542 	 135.42247631075932 	 608.3453012370162 	 75853.93687622463
